drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2013,38,8,Austin Pruitt,53,/players/p/pruitau01.shtml,152.66666666666666,175,8,RHP,-1.1,18,95,5.01,9,Rays,TBR,108,85
2013,17,1,Jaime Schultz,22,/players/s/schulja02.shtml,30.333333333333332,18,2,RHP,-0.2,6,19,5.64,2,Rays,TBR,35,19
2013,18,8,Hunter Wood,30,/players/w/woodhu01.shtml,41.333333333333336,42,1,RHP,0.4,4,17,3.7,1,Rays,TBR,42,17
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,18,0,Brian Omogrosso,29,/players/o/omogrbr01.shtml,37.333333333333336,48,2,RHP,-0.2,5,24,5.54,0,White Sox,CHW,34,23
2006,113,27,Hector Santiago,78,/players/s/santihe01.shtml,224.66666666666666,192,10,LHP,5.0,27,95,3.41,8,White Sox,CHW,218,85
2006,75,0,Jake Petricka,181,/players/p/petrija01.shtml,178.0,190,11,RHP,2.4,12,78,3.84,7,White Sox,CHW,131,76
2007,8,0,Aaron Poreda,10,/players/p/poredaa01.shtml,11.0,9,0,LHP,0.4,0,3,2.45,1,White Sox,CHW,12,3
2007,103,0,Nate Jones,271,/players/j/jonesna01.shtml,281.0,235,12,RHP,6.1,26,107,3.11,22,White Sox,CHW,308,97
2008,20,5,Daniel Hudson,9,/players/h/hudsoda01.shtml,34.333333333333336,33,2,RHP,0.2,4,20,4.72,2,White Sox,CHW,28,18
2008,17,2,Charles Leesman,9,/players/l/leesmch01.shtml,18.0,25,1,LHP,-0.7,3,20,9.0,0,White Sox,CHW,13,18
2008,4,0,Taylor Thompson,5,/players/t/thompta01.shtml,5.333333333333333,9,0,RHP,-0.2,1,6,10.13,0,White Sox,CHW,4,6
2009,4,0,Taylor Thompson,5,/players/t/thompta01.shtml,5.333333333333333,9,0,RHP,-0.2,1,6,10.13,0,White Sox,CHW,4,6
2010,260,148,Chris Sale,228,/players/s/salech01.shtml,1110.0,922,50,LHP,30.3,113,398,3.0,74,White Sox,CHW,1244,370
